"ID","Citation","Title","Year","Number.of.Studies","Screened","Include","Study","Focal.Hypothesis.Description","Design","Code.for.Interaction","Code.for.Main.Effect.vs.Interaction","TMT.theory.or.other","Method.MAPS.or.Other","Treatment.Group.2","Treatment.Group.3","Treatment.Group.4","Treatment.Group.5","Control.Group.DP.or.other","Control.Group.2","Interaction.Variable.1","Interaction.Variable.2","Interaction.Variable.3","Interaction.Variable.4","Dependent.Variable","Dependent.Variable.2","DV.Codes","DV.Types","Delay","Code.for.Delay.Task","Age.M","Entirely.College","Code.and.Location","Code.for.Location","Focal.Analysis.Description","Copy.Paste.Statistical.Result","test.Statistic","Value","df","p.value","Total.N","Statistics.1","Statistic.2","Notes","NumCells","Cell.N"
36,"Anglin, S. M. (2014). From avoidance to approach: The effects of mortality salience and attachment on the motivation to repair troubled relationships. Personality and Individual Differences, 66, 86–91. https://doi.org/10.1016/j.paid.2014.03.012","From avoidance to approach: The effects of mortality salience and attachment on the motivation to repair troubled relationships.","2014",1,"","Y","1","Because previous research has shown that MS increases relational strivings, MS was expected to motivate participants to repair their relationship problems and increase their expectations for improvement and future relationship satisfaction. Furthermore, because attachment style and relationship type appear to be key factors in determining which attachment group responds to MS with increased relational strivings (Cox et al., 2008), the present study investigated the moderating effects of attachment style in different types of troubled relationships.","2X2X2 BS","Tr","Interaction (2X2X2)","TMT","MAPS","","","","","DP","","attachment style","","","","motivation to improve relationship","","2: love","Desire","2 (PANAS-X + reading a short excerpt from a novel)","2",NA,"y","1: USA",1,"2X2X2 GLM","Moreover, there was a 3-way interaction among condition, avoidance, and anxiety, F(1, 72) = 3.86, p ⩽ .05.","F","3.86","1,72","NA (p<.05)",222,"F(1, 72)=3.86","","main effect was used",8,27.75
44,"Arndt, J., & Greenberg, J. (1999). The effects of a self-esteem boost and mortality salience on responses to boost relevant and irrelevant worldview threats. Personality and Social Psychological Bulletin, 25,1331-1341.","The effects of a self-esteem boost and mortality salience on responses to boost relevant and irrelevant worldview threats.","1999",1,"","Y","1","If mortality salience causes derogation of the anti-major target only when the major has been mentioned in the feedback, this should result in a two-way interaction between mortality salience and major with no involvement of the favorability of the feedback. Alternatively, if major-irrelevant neutral feedback participants derogate the anti-major target in the mortality salience condition, a three-way interaction should emerge such that derogation occurs in all of the mortality salience conditions except for the major-irrelevant positive feedback condition.","2X2X2 BS","Tr; De: OTHER","Interaction (2X2X2)","TMT","MAPS","","DP","","","","","Self-Esteem: High Low ","major","","","anti-US target","","5: other (major)","Attitudes and Beliefs","PANAS-X","1","?","y","1: USA",1,"2X2X2 ANOVA","The key question of the present study is whether such attenuation also will occur when the threat to the worldview attacks a belief that is more central to participants’ current feelings of self-esteem. To address this question, a 2 (self-esteem) × 2 (major) × 2 (mortality salience) ANOVA also was performed on the evaluations of the anti-major target. This analysis revealed two significant effects: first, a main effect for mortality salience, F(1, 93) = 18.92, p < .001, indicating that mortality salient participants evaluated the anti-major target more negatively (M = 3.06) than did dental pain participants (M = 4.34), and second, a Major × Mortality Salience interaction, F(3, 93) = 5.32, p < .03, which qualified the main effect.","F","5.32","3,93","<.03",99,"F(3, 93)=5.32","","",8,12.375
45,"Arndt, J., & Solomon, S. (2003). The control of death and the death of control: The effects of mortality salience, neuroticism, and worldview threat on the desire for control. Journal of Research in Personality, 37,1-22.","The control of death and the death of control: The effects of mortality salience, neuroticism, and worldview threat on the desire for control.","2003",2,"","Y","1","Whereas low neurotics should increase in desire for control following mortality salience, this assumption about the neurotics lack of worldview investment suggests that neurotic individuals will abdicate their desire for personal control after pondering their own demise.","2X2 BS","Tr","Interaction (2X2)","TMT","MAPS","","DP","","","","","neuroticism","","","","Desire for Control Scale","","2: other control","Desire","PANAS-X","1","?","y","1: USA",1,"2X2 ANOVA","This effect, however, was qualified by the predicted interaction between mortality salience and neuroticism, F(1, 161) = 13.47, p < .01.","F","13.47","1,161","<.01",162,"F(1, 161)=13.47","","",4,40.5
46,"Arndt, J., & Solomon, S. (2003). The control of death and the death of control: The effects of mortality salience, neuroticism, and worldview threat on the desire for control. Journal of Research in Personality, 37,1-22.","The control of death and the death of control: The effects of mortality salience, neuroticism, and worldview threat on the desire for control.","2003",2,"","Y","2","Thus, if participants are exposed to a target who threatens their beliefs (but are not permitted to respond to that target), such exposure might sufficiently threaten the worldview to create the conditions necessary to test our present hypothesis.","2X2 BS","Tr; Target Feature","Interaction (2X2X2)","TMT","MAPS","","DP","","","","","neuroticism","essay: worldview threat vs. neutral","","","Desire for Control Scale","","2: other control","Desire","PANAS-X","1","?","y","1: USA",1,"2X2X2 ANOVA","This effect, however, was qualified by the predicted three-way interaction between mortality salience, essay, and neuroticism, F(1, 130) = 4.60, p < .04.","F","4.6","1,130","<.04",141,"F(1, 130)=4.6","","",4,35.25
55,"Arndt, J., Cook, A., Goldenberg, J. L, & Cox, C. R. (2007). Cancer and the threat of death: The cognitive dynamics of death thought suppression and its impact on behavioral health intentions. Journal of Personality and Social Psychology, 92,12-29.","cancer and the threat of death: The cognitive dynamics of death-thought suppression and its impact on behavioral health intentions","2007",5,"","Y","5","Thus we predicted that when individuals are able to suppress the death-related thoughts associated with cancer they do so, but when their cognitive resources are taxed they avoid threat through alternative means, in this case by avoiding behaviors that can have important health benefits.","2X2 BS","Cog","interaction (2X2)","TMT","MAPS","","","","","DP","","cognitive load","","","","intention for self breast exam","","6: other self breast exam","Behavior","PANAS","1","information unavailable","y","1: USA",1,"2X2 ANOVA","A 2 (load: low or high) x 2 (salience: cancer or asthma) between-subjects ANOVA revealed no main effects but did show the predicted two-way interaction, F(1, 79) = 8.86, p = .01.","F","8.86","1,79","<.01",83,"F(1,79)=8.86","","",4,20.75
61,"Arndt, J., Greenberg, J, & Cook, A. (2002). Mortality salience and the spreading activation of worldview-relevant constructs: Exploring the cognitive architecture of terror management. Journal of Experimental Psychology: General, 131,307-324.","Mortality salience and the spreading activation of worldview-relevant constructs: Exploring the cognitive architecture of terror management.","2002",7,"","Y","1","If knowledge of mortality is embedded in an associative network that also includes important beliefs and values, then the reminder to participants of their mortality should also increase the accessibility of nationalistic worldview constructs.","2X2 BS","Ge","main effect (2XC)","TMT","MAPS","","","","","DP","","Gender","","","","nationalistic word completions","","5: other worldview nationalism","Attitudes and Beliefs","2, PANAS-X and word search","2","information not available","y","1: USA",1,"2X2 ANOVA (main effect predicted)","In terms of the simple effects of mortality salience, this analysis supported our hypothesis: nationalistic accessibility was higher after participants thought about their mortality (M = 2.30) than when they thought about dental pain (M = 1.61), F(1, 42) = 8.02, p = .01. However, the Gender Mortality Salience interaction was also significant, F(1, 42) = 5.35, p = .03.","F","8.02","1,42","",46,"F(1, 42)=8.02","","",4,11.5
62,"Arndt, J., Greenberg, J, & Cook, A. (2002). Mortality salience and the spreading activation of worldview-relevant constructs: Exploring the cognitive architecture of terror management. Journal of Experimental Psychology: General, 131,307-324.","Mortality salience and the spreading activation of worldview-relevant constructs: Exploring the cognitive architecture of terror management.","2002",7,"","Y","2","If our analysis is correct, then we should find a three-way interaction such that mortality salience triggers increased accessibility of nationalistic thoughts for men but increased accessibility of romantic relationship thoughts for women.","2WX2BX2B","Ge; Content Feature","interaction (2X2X2w)","TMT","MAPS","","","","","DP","","Gender","accessibility: nationalistic vs. relationship","","","word completion","","5: nationalism and relationship","Attitudes and Beliefs","2, PANAS-X and word search","2","information not available","y","1: USA",1,"2X2X2 mixed ANOVA","However, this effect was qualified by the predicted three-way interaction between gender, mortality salience, and accessibility measure, F(1, 51) = 5.87, p < .02.","F","5.87","1,51","",56,"F(1, 51)=5.87","","",4,14
65,"Arndt, J., Greenberg, J, & Cook, A. (2002). Mortality salience and the spreading activation of worldview-relevant constructs: Exploring the cognitive architecture of terror management. Journal of Experimental Psychology: General, 131,307-324.","Mortality salience and the spreading activation of worldview-relevant constructs: Exploring the cognitive architecture of terror management.","2002",7,"","Y","5","First, although the present theoretical analysis and results suggest that women should show increased relationship accessibility in response to death primes presented outside of conscious awareness, Experiment 5 provided an empirical test of this hypothesis by using female participants and adopting the subliminal priming method.","2WX2B","Content Feature","interaction (2X2w)","TMT","OTHER (subliminal death words)","","","","","OTHER (subliminal pain words)","","accessiblity: nationalistic vs. relationship","","","","log RT worldview affirming words","","7: other worldview affirming words","Cognition","0","0","information not available","y","1: USA",1,"2X2 ANOVA","This analysis revealed the expected Prime X Word Type interaction, F(1, 21) = 5.65, p = .03.","F","5.65","1,21","",23,"F(1, 21)=5.65","","",2,11.5
66,"Arndt, J., Greenberg, J, & Cook, A. (2002). Mortality salience and the spreading activation of worldview-relevant constructs: Exploring the cognitive architecture of terror management. Journal of Experimental Psychology: General, 131,307-324.","Mortality salience and the spreading activation of worldview-relevant constructs: Exploring the cognitive architecture of terror management.","2002",7,"","Y","6","Consequently, the current study examined with particular interest the possibility of gender differences in responses to death-related thought....If knowledge of mortality is embedded in an associative network that also includes important beliefs and values, then the reminder to participants of their mortality should also increase the accessibility of nationalistic worldview constructs.","2X2 BS","Ge","interaction (2X2)","TMT","MAPS","","","","","DP","","Gender","","","","word completion","","5: nationalism","Attitudes and Beliefs","2, PANAS-X and word search","2","information not available","y","1: USA",1,"2X2 ANOVA","Pairwise comparisons within each type of accessibility provided strong support for our hypotheses. Specifically, among men, mortality salience led to increased nationalistic accessibility relative to their dental pain counterparts, t(51) = 2.24, p < .05, η² = .09. However, for women, mortality salience did not increase nationalistic accessibility relative to female dental pain participants, t < 1. Thus, these data replicate the results found in Experiment 1. However, a different picture emerges for the accessibility of thoughts pertaining to romantic relationships. Here, women evidenced higher relationship accessibility after being reminded of their mortality relative to their dental pain counterparts, t(51) = 3.03, p < .01, η² = .15. However, this same effect was not significant among men, t(51) = 1.34.","F","5.35","1,42","<.03",46,"F(1, 42)=5.35","","Though the hypothesis was not specifically about gender, the results were presented in this way; there was also emphasis on how it is of particular interest in this study (see stated hypothesis)",4,11.5
67,"Arndt, J., Greenberg, J, & Cook, A. (2002). Mortality salience and the spreading activation of worldview-relevant constructs: Exploring the cognitive architecture of terror management. Journal of Experimental Psychology: General, 131,307-324.","Mortality salience and the spreading activation of worldview-relevant constructs: Exploring the cognitive architecture of terror management.","2002",7,"","Y","7","Thus, if America is made salient prior to a reminder of mortality, we would expect that such a reminder would increase the accessibility of nationalistic thoughts in American women.","2BX2BX2W","Content Feature; Target Feature","Interaction (2X2X2)","TMT","MAPS","","","","","DP","","initial prime: food vs. America","accessibility: nationalistic vs. relationship","","","word completion","","5: word completions","Attitudes and Beliefs","2, PANAS-X and word search","2","information not available","y","1: USA",1,"2X2X2 ANOVA","This effect was qualified by the predicted three-way interaction between prime, salience, and accessibility, F(1, 77) = 4.97, p < .03, η² = .06.","F","4.97","1,77","<.02",81,"F(1, 77)=4.97","","Could not report reversing interaction so report three-way interaction",4,20.25
68,"Arndt, J., Greenberg, J., Pyszczynski, T., & Solomon, S. (1997). Subliminal exposure to death-related stimuli increases defense of the cultural worldview. Psychological Science, 8,379-385.","Subliminal exposure to death-related stimuli increases defense of the cultural worldview.","1997",3,"","Y","1"," The present research was designed to investigate the effects of subliminal presentation of death-related stimuli on responses to persons who bolster and threaten the CWV. Based on previous research demonstrating that MS produces defense of the CWV, we expected to find increased liking for persons who support the CWV and decreased liking for those who threaten it.","3X1 BS","","main effect (2)","TMT","MAPS","subliminal death stimuli","","","","Other, exam related stress","","","","","","cultural world view defense","","5: nationalism","Attitudes and Beliefs","PANAS-X","1","information not availalble","y","1: USA",1,"one-way ANOVA","Most important for the present hypothesis, pair-wise comparisons also revealed that participants who received subliminal presentations of the word death exhibited greater pro-American bias than participants in the control condition, t(33) = 3.80, p < .01.","t","3.8","33","<.01",36,"t(33)=3.8","","",3,12
69,"Arndt, J., Greenberg, J., Pyszczynski, T., & Solomon, S. (1997). Subliminal exposure to death-related stimuli increases defense of the cultural worldview. Psychological Science, 8,379-385.","Subliminal exposure to death-related stimuli increases defense of the cultural worldview.","1997",3,"","Y","2","The purpose of Experiment 2 was to examine this alternative by contrasting the effects of the subliminally presented word dead with the effects of the subliminally presented word pain and also assessing affect directly after the primes","3X1 BS","","main effect (2)","TMT","Other, subliminal death prime","","","","","Other, subliminal pain prime","","","","","","cultural world view defense","","5: nationalism","Attitudes and Beliefs","PANAS-X","1","information not availalble","y","1: USA",1,"one-way ANOVA","A one-way between-subjects ANOVA on pro-American bias revealed that participants exposed subliminally to the word dead exhibited increased pro-American bias relative to participants exposed subliminally to the word pain, F(1, 23) = 7.83, p < .02.","F","7.83","1,23","NA (P<.02)",25,"F(1,23)=7.83","","chose test of MS hypothesis and only statistic available for this analysis",3,8.33333333333333
70,"Arndt, J., Greenberg, J., Pyszczynski, T., & Solomon, S. (1997). Subliminal exposure to death-related stimuli increases defense of the cultural worldview. Psychological Science, 8,379-385.","Subliminal exposure to death-related stimuli increases defense of the cultural worldview.","1997",3,"","Y","3","If thoughts of death lead to increased defense of the worldview only when they are outside of conscious attention, then relative to the pain control condition, participants subliminally exposed to the word dead should show increased bias, whereas participants who could see the dead prime should not","3X1 BS","","main effect (2)","TMT","Other, subliminal death prime","","","","","Other, subliminal pain prime","Other, supraliminal death prime","","","","","cultural world view defense","","5: nationalism","Attitudes and Beliefs","0","0","information not availalble","y","1: USA",1,"one-way ANOVA","Results of a one-way ANOVA on the composite measure of pro-American bias revealed a significant effect, F(2, 36) = 4.24, p < .03.","F","4.24","2,36","NA (p<.03)",34,"F(2,36)=4.24","","did not provide t statistic that would be the primary hypothesis",3,11.3333333333333
71,"Arndt, J., Greenberg, J., Schimel, J., Pyszczynski, T., & Solomon, S. (2002). To belong or not to belong, that is the question: Terror management and identification with gender and ethnicity. Journal of Personality and Social Psychology, 83,26-43.","To belong or not to belong, that is the question: Terror management and identification with gender and ethnicity.","2002",3,"","Y","1","We expected that in the absence of stereotype threat, mortality salience would lead women to increase perceptions of themselves as similar to women in general. However, because mortality salience increases the need for self-esteem, we expected this effect to be minimized or reversed under conditions of high stereotype threat.","2X2 BS","Tr","interaction (2X2XC)","TMT","MAPS","","","","","DP","","stereotype threat (math vs verbal)","","","","Social projection measure","","5: ingroup women","Attitudes and Beliefs","1 (PANAS-X)","1","information not availalble","y","1: USA",1,"2X2X2 ANOVA (interaction 2X2)","Thus, to examine our primary hypothesis about the effects of mortality salience and stereotype threat, as well as this possibility, we conducted a 2 (mortality salience) × 2 (stereotype threat) × 2 (gender of experimenter) analysis of variance (ANOVA) on the social projection scores. This analysis revealed only the predicted Mortality Salience × Stereotype Threat interaction, F(1, 46) = 5.80, p < .03, which was not qualified by the gender of the experimenter (F < 1).","F","5.8","1,46","NA (p<.03)",47,"F(1 ,46)=5.8","","",4,11.75
